Platform,JST Hour,posts,med_eng_rate,mean_impr
FB,1,3,0.69,63063.333333333336
FB,22,1,0.65,13890.0
FB,2,2,0.6399999999999999,24664.5
FB,21,1,0.59,18146.0
FB,0,1,0.57,64464.0
FB,6,2,0.515,63838.5
FB,20,1,0.51,62308.0
FB,4,2,0.45999999999999996,283229.5
FB,7,1,0.43,80869.0
FB,3,1,0.39,13443.0
IG,2,4,2.49,79332.0
IG,3,2,2.465,141705.5
IG,5,2,2.23,221483.0
IG,6,1,2.11,278395.0
IG,0,1,2.0,85121.0
IG,4,1,0.96,1094048.0
IG,23,1,0.73,449285.0
IG,21,1,0.72,356071.0
X,5,1,0.17,78377.0
X,17,1,0.14,23768.0
X,16,1,0.13,43434.0
X,2,1,0.12,42970.0
X,0,1,0.09,69681.0
X,6,1,0.06,17248.0
X,3,1,0.03,33822.0
X,21,1,0.03,25497.0
X,4,3,0.01,34215.0
